iter	RMSE
0	0.6198228015
1	0.5986405061
2	0.5785254042
3	0.5599471501
4	0.5425417304
5	0.5271830428
6	0.5129469868
7	0.4988739646
8	0.4868716856
9	0.475535767
10	0.4646336368
11	0.455137136
12	0.445371008
13	0.4371654296
14	0.4290114988
15	0.4219653011
16	0.414682194
17	0.4082553537
18	0.4024539699
19	0.397115475
20	0.3927349435
21	0.3880393167
22	0.3841293407
23	0.3800899204
24	0.3764947796
25	0.372682385
26	0.3695492089
27	0.3668319048
28	0.3640547691
29	0.3612178987
30	0.3588047825
31	0.3568547344
32	0.354700123
33	0.3524748833
34	0.3505289776
35	0.3486165858
36	0.3469185048
37	0.3452379812
38	0.3439417728
39	0.3425868125
40	0.3412184028
41	0.3400341881
42	0.3389049545
43	0.3377484139
44	0.3366365388
45	0.3355142275
46	0.3348148493
47	0.3341198275
48	0.3330923844
49	0.3323485434
50	0.3315080773
51	0.3308420367
52	0.329991416
53	0.3292294716
54	0.3286965015
55	0.328094568
56	0.3276730384
57	0.3270094478
58	0.3263532811
59	0.3258091682
60	0.3252412316
61	0.3248609485
62	0.3243442118
63	0.323909661
64	0.3233648205
65	0.3228873324
66	0.3223529709
67	0.3218488105
68	0.3212663793
69	0.3208885715
70	0.3205099201
71	0.3202457769
72	0.3198947825
73	0.3195747836
74	0.3192203484
75	0.3187918334
76	0.3186500477
77	0.3182806514
78	0.3180036735
79	0.3178460626
80	0.3175651121
81	0.3171091469
82	0.3168205507
83	0.3166120436
84	0.3163032411
85	0.3158532867
86	0.3156319358
87	0.315419007
88	0.3150323256
89	0.314827146
90	0.3144832433
91	0.3141191053
92	0.3138026903
93	0.3134385131
94	0.3131829814
95	0.3129540116
96	0.3127644412
97	0.3126098526
98	0.3123942399
99	0.3121100758
100	0.3118546899
101	0.3116025478
102	0.3112844086
103	0.3112109662
104	0.3109666429
105	0.3107772764
106	0.3104669574
107	0.3102018774
108	0.3101576025
109	0.309936929
110	0.3097656854
111	0.3095961718
112	0.3093741463
113	0.3090979903
114	0.3090605408
115	0.3087665029
116	0.3085150891
117	0.3082852607
118	0.3081559075
119	0.3079252699
120	0.3077088097
121	0.3073502351
122	0.3072755687
123	0.3071909369
124	0.3071233498
125	0.3070974038
126	0.3069621365
127	0.3068824804
128	0.3066472065
129	0.3064570736
130	0.3063022658
131	0.3061271038
132	0.3058476173
133	0.3055556155
134	0.3053375962
135	0.3051404546
136	0.3049772652
137	0.304936043
138	0.3048112863
139	0.304585418
140	0.3043140377
141	0.3041348374
142	0.3038985681
143	0.3036863268
144	0.3033681858
145	0.3031231548
146	0.3029189327
147	0.3027951451
148	0.3027706636
149	0.3027410763
150	0.3025769115
151	0.3024084936
152	0.3022598256
153	0.3020680235
154	0.3018435793
155	0.3014903322
156	0.3014066133
157	0.3010182521
158	0.3006916423
159	0.3006369561
160	0.3004880767
161	0.3003316266
162	0.3001470484
163	0.3000676634
164	0.2999228571
165	0.2997372239
166	0.2996739214
167	0.2996334343
168	0.2995043175
169	0.2994275407
170	0.2994053355
171	0.29925702
172	0.2992143361
173	0.2991970618
174	0.2990125079
175	0.29899201
176	0.2989296979
177	0.2988753638
178	0.2986542587
179	0.2985448984
180	0.2985224762
181	0.2984749119
182	0.298288635
183	0.2982572622
184	0.298099581
185	0.2979376264
186	0.297564164
187	0.2973454331
188	0.2973030133
189	0.2972837383
190	0.2971347536
191	0.2969807794
192	0.2969063423
193	0.2968723596
194	0.2965448114
195	0.2962463052
196	0.2961137054
197	0.2960201695
198	0.2960041886
199	0.295712569
200	0.2954264449
201	0.2952924497
202	0.2952769782
203	0.2952573306
204	0.2952415789
205	0.2951321598
206	0.2949786537
207	0.2947695722
208	0.2946610495
209	0.2943555477
210	0.2943406762
211	0.2941862229
212	0.2941749899
213	0.2941582509
214	0.2940595882
215	0.2939626505
216	0.2939469144
217	0.2938376702
218	0.2936905926
219	0.2934950238
220	0.2933742514
221	0.2931061292
222	0.2930934471
223	0.2930826805
224	0.2928852439
225	0.292875207
226	0.292786955
227	0.2927741238
228	0.2927651946
229	0.2926410399
230	0.2925743066
231	0.2924851543
232	0.292476122
233	0.2924670909
234	0.2923396325
235	0.2922130513
236	0.2921078369
237	0.2920557206
238	0.291970134
239	0.2918066375
240	0.2917988578
241	0.291789529
242	0.2917818754
243	0.2915945908
244	0.2915224816
245	0.2913912377
246	0.2912522777
247	0.2912449334
248	0.2910697033
249	0.2910613393
250	0.2910543484
251	0.2910466734
252	0.2909021047
253	0.2907857661
254	0.2906672061
255	0.2906587971
256	0.2904602612
257	0.2903660054
258	0.2903601518
259	0.2902437197
260	0.2900593297
261	0.2899241865
262	0.2898135067
263	0.2897267246
264	0.2895145936
265	0.289437716
266	0.2894301475
267	0.2892840309
268	0.2892763527
269	0.2892706269
270	0.2890666739
271	0.2890597717
272	0.2890545664
273	0.2890480725
274	0.2890430102
275	0.2889775448
276	0.2888622531
277	0.2886951812
278	0.288595413
279	0.2885168354
280	0.2885109986
281	0.2885063434
282	0.2883785334
283	0.2882652544
284	0.2880535383
285	0.288049061
286	0.2879128102
287	0.2877824138
288	0.2877337355
289	0.2876123228
290	0.2874825384
291	0.2874781223
292	0.2874189574
293	0.2874141279
294	0.2873801082
295	0.2873088029
296	0.2873031643
297	0.2872356743
298	0.2871619681
299	0.2871580268
300	0.2870236318
301	0.2869222029
302	0.2867995371
303	0.2867948154
304	0.286677863
305	0.2866742157
306	0.2864834039
307	0.2863463613
308	0.2863428008
309	0.2863393511
310	0.2863360084
311	0.286291796
312	0.2861548656
313	0.2859907918
314	0.2859213594
315	0.2858220216
316	0.2856205333
317	0.285617236
318	0.2855874081
319	0.2854923281
320	0.2854212053
321	0.2852982999
322	0.2852948066
323	0.2852914347
324	0.2851819477
325	0.2851104109
326	0.284995371
327	0.2849209708
328	0.2847899275
329	0.2846960871
330	0.2845819962
331	0.2845788519
332	0.2845226268
333	0.2844162112
334	0.2843588382
335	0.2842836489
336	0.284247556
337	0.2841365349
338	0.284026755
339	0.2839406008
340	0.2839376361
341	0.2839347652
342	0.2838792909
343	0.2838764823
344	0.2838096
345	0.283689118
346	0.283498753
347	0.2834318155
348	0.2833678139
349	0.2832590601
350	0.283224364
351	0.2831938745
352	0.2830626325
353	0.2830597775
354	0.2830207419
355	0.2829816142
356	0.282875638
357	0.2826518925
358	0.282586816
359	0.2825826007
360	0.2823789158
361	0.2822478708
362	0.282166509
363	0.2821638793
364	0.2821154129
365	0.2820073997
366	0.2819336868
367	0.2818643948
368	0.2817067881
369	0.2815928692
370	0.2815903189
371	0.2815335698
372	0.2815083432
373	0.2814860485
374	0.2814828253
375	0.2813564005
376	0.2813333573
377	0.2812016808
378	0.281054296
379	0.2810332492
380	0.2810309905
381	0.2808384765
382	0.2805887891
383	0.2805865981
384	0.2804561955
385	0.2802730451
386	0.2802695563
387	0.2801651808
388	0.2801544487
389	0.2800699976
390	0.2799358984
391	0.2798237047
392	0.2796521417
393	0.2796472837
394	0.2795602859
395	0.2795313857
396	0.2795283945
397	0.2794374566
398	0.2792767241
399	0.2792315506
400	0.2790729569
401	0.2790706181
402	0.2790064422
403	0.2790045051
404	0.2788178956
405	0.278747765
406	0.278709163
407	0.2785947033
408	0.2785168475
409	0.2783818771
410	0.278350819
411	0.2782879752
412	0.2782646389
413	0.2781916954
