iter	Passed	Remaining
0	2	2053
1	4	2015
2	6	2017
3	7	1938
4	9	1877
5	11	1911
6	13	1883
7	15	1869
8	16	1855
9	18	1817
10	20	1805
11	21	1782
12	23	1809
13	25	1787
14	27	1778
15	28	1773
16	30	1778
17	32	1770
18	34	1764
19	36	1766
20	38	1775
21	40	1782
22	42	1793
23	43	1786
24	45	1784
25	47	1774
26	49	1767
27	50	1768
28	52	1763
29	54	1763
30	56	1766
31	58	1774
32	60	1773
33	62	1775
34	64	1780
35	66	1778
36	68	1774
37	69	1771
38	72	1778
39	74	1780
40	76	1777
41	77	1775
42	79	1771
43	81	1771
44	83	1767
45	85	1769
46	87	1772
47	89	1774
48	91	1774
49	93	1769
50	94	1764
51	96	1765
52	98	1767
53	101	1769
54	103	1772
55	105	1774
56	107	1773
57	109	1771
58	111	1772
59	113	1772
60	115	1775
61	117	1779
62	120	1787
63	122	1785
64	123	1783
65	126	1786
66	128	1785
67	130	1784
68	132	1786
69	134	1787
70	136	1786
71	138	1788
72	140	1787
73	142	1786
74	144	1786
75	147	1788
76	148	1784
77	150	1781
78	152	1780
79	154	1778
80	156	1776
81	158	1778
82	160	1776
83	162	1775
84	164	1773
85	167	1779
86	169	1777
87	171	1774
88	173	1775
89	175	1777
90	177	1776
91	180	1783
92	183	1785
93	186	1792
94	188	1791
95	190	1790
96	192	1790
97	194	1792
98	196	1788
99	198	1784
100	200	1783
101	202	1780
102	204	1777
103	205	1774
104	208	1773
105	210	1772
106	212	1771
107	214	1771
108	216	1770
109	218	1770
110	221	1770
111	223	1774
112	226	1779
113	228	1779
114	231	1781
115	233	1781
116	236	1782
117	238	1782
118	241	1786
119	243	1787
120	246	1788
121	249	1793
122	251	1794
123	254	1797
124	256	1798
125	258	1796
126	262	1806
127	265	1808
128	268	1809
129	270	1809
130	272	1808
131	275	1808
132	277	1810
133	282	1823
134	284	1822
135	287	1826
136	290	1829
137	293	1833
138	295	1833
139	298	1834
140	301	1835
141	303	1836
142	306	1839
143	310	1843
144	312	1840
145	314	1839
146	316	1839
147	319	1840
148	322	1839
149	324	1837
150	327	1838
151	329	1837
152	331	1837
153	334	1839
154	337	1837
155	339	1835
156	341	1835
157	344	1834
158	346	1831
159	348	1831
160	351	1829
161	353	1829
162	356	1832
163	359	1831
164	361	1831
165	364	1830
166	367	1830
167	369	1831
168	372	1831
169	375	1834
170	379	1839
171	383	1847
172	388	1859
173	391	1860
174	395	1866
175	398	1865
176	401	1864
177	404	1865
178	407	1868
179	411	1873
180	413	1872
181	416	1873
182	420	1877
183	423	1877
184	426	1876
185	428	1877
186	432	1878
187	434	1878
188	438	1880
189	441	1883
190	444	1883
191	447	1883
192	450	1882
193	452	1881
194	456	1885
195	458	1882
196	461	1881
197	464	1881
198	466	1878
199	469	1877
200	471	1875
201	474	1874
202	476	1870
203	478	1867
204	481	1865
205	483	1864
206	486	1864
207	489	1863
208	491	1861
209	495	1862
210	497	1859
211	499	1856
212	501	1854
213	503	1850
214	505	1846
215	508	1844
216	509	1839
217	511	1836
218	514	1834
219	516	1832
220	518	1829
221	521	1827
222	523	1824
223	525	1822
224	529	1822
225	531	1819
226	533	1816
227	535	1813
228	537	1808
229	539	1807
230	542	1805
231	544	1802
232	546	1799
233	548	1796
234	551	1793
235	553	1792
236	556	1792
237	558	1789
238	561	1787
239	563	1785
240	565	1782
241	567	1778
242	569	1775
243	572	1774
244	574	1771
245	577	1769
246	579	1767
247	582	1766
248	584	1763
249	586	1760
250	588	1757
251	591	1756
252	594	1755
